Waypoint,Cthcm,Latitude,Longitude,Distance,Aspect,Slope,Prof Curv,Plan Curv,Vegetation,pH,Moisture,Sample depth,BD,LOI,TC 
wp31c,17b,66.97791667,-50.54425,21,W,20,+,-,mixed,6.6,7,0-5,0.58,6.17,61698.54951
wp32c,17b,66.97805556,-50.54544444,21,W,20,0,-,shrub,6.7,8,0-5,0.54,5.94,59449.28761
wp33c,17b,66.97813889,-50.54616667,21,W,30,0,0,grass,6.4,7,0-5,0.53,5.58,55753.68521
wp34c,17b,66.97947222,-50.54683333,21,W,0,0,0,steppe,6.8,1.5,0-5,1.40,1.73,17257.84882
wp35c,17b,66.97925,-50.54577778,21,N,0,0,0,mixed,6.6,5,0-5,0.90,2.17,21673.4533
wp1d,N2,67.00641667,-50.99105556,37,N,0,0,0,mixed,6.4,8,0-5,0.34,10.03,100301.0465
wp2d,N2,67.00641667,-50.99141667,37,N,0,0,0,shrubs,6.4,7.5,0-5,0.14,7.46,74626.86567
wp3d,N2,67.00630556,-50.99027778,37,N,5,-,0,mixed,6.5,7.5,0-5,0.63,5.66,56577.52512
wp5d,N2,67.00652778,-50.98855556,37,NW,5,-,+,shrubs,6.9,4,0-5,0.98,1.89,18895.53072
wp6d,N2,67.00644444,-50.98708333,37,NW,0,0,0,bare,6.8,2,0-5,1.04,1.55,15469.50863
wp7d,N2,67.00666667,-50.98613889,37,NW,5,0,0,mixed,6.7,5,0-5,0.78,2.86,28623.98214
wp8d,N2,67.00702778,-50.98455556,37,W,30,-,0,mixed,6.6,6.5,0-5,0.46,5.39,53925.29407
wp9d,N2,67.00758333,-50.98333333,37,W,45,-,0,mixed,6.5,7,0-5,0.47,4.68,46780.55765
wp10d,N2,67.00802778,-50.983,37,W,20,-,0,shrubs,6.5,6.5,0-5,0.64,3.52,35164.15948
wp11d,N2,67.00802778,-50.98241667,37,SW,20,-,-,shrubs,6.4,5.5,0-5,0.57,3.84,38359.34535
wp12d,N2,67.00830556,-50.98247222,37,SW,20,-,+,grass,6.8,2,0-5,1.27,1.76,17597.52411
wp13d,N2,67.00852778,-50.98222222,37,W,45,0,0,shrubs,6.9,2.5,0-5,0.45,4.30,43023.11361
wp14d,N2,67.00852778,-50.98144444,37,W,0,0,0,mixed,6.9,1,0-5,1.21,1.40,14022.07427
wp15d,N2,67.00913889,-50.98083333,37,NW,30,-,0,mixed,6.8,2.5,0-5,0.22,5.79,57923.33002
wp16d,N2,67.01016667,-50.97852778,37,W,45,0,0,mixed,6.8,4,0-5,0.30,4.63,46284.88777
wp17d,N2,67.01027778,-50.97644444,37,NW,0,0,0,shrubs,6.8,2.5,0-5,0.97,1.93,19268.32561
wp18d,N2,67.01058333,-50.97619444,37,Nw,45,0,0,mixed,6.6,6.5,0-5,0.13,4.56,45573.35216
wp19d,N2,67.01088889,-50.97636111,37,W,45,0,0,mixed,6.5,7.5,0-5,0.97,4.98,49750.02358
wp20d,N2,67.01125,-50.97633333,37,SW,10,0,0,mixed,6.7,5.5,0-5,1.99,1.07,10667.38419
wp21d,N2,67.01158333,-50.97555556,37,NW,20,-,+,shrubs,6.2,8,0-5,0.42,6.21,62140.75228
wp22d,N2,67.01169444,-50.97544444,37,NW,20,-,+,shrubs,6.1,8,0-5,0.51,4.62,46192.56283
wp23d,N2,67.01225,-50.97505556,37,NW,20,+,+,mixed,6.5,6.5,0-5,0.71,4.25,42468.21612
wp24d,N2,67.01255556,-50.97491667,37,SW,5,+,+,shrubs,6.7,4.5,0-5,0.60,3.15,31521.1856
wp25d,N2,67.01347222,-50.97533333,37,SW,3,0,0,shrubs,6.5,8,0-5,0.77,3.39,33927.99158
wp26d,N2,67.01380556,-50.97580556,37,SW,3,0,0,shrubs,6.4,6,0-5,0.74,3.17,31681.35864
wp27d,N2,67.01416667,-50.97705556,37,SE,0,0,0,fen,6.8,8,0-5,0.38,6.88,68836.13283
wp28d,N2,67.01466667,-50.97830556,37,NW,0,0,0,shrubs,6.6,5,0-5,0.64,3.01,30051.79226
wp29d,N2,67.01502778,-50.97997222,37,S,0,0,0,mixed,6.8,6.5,0-5,0.53,6.69,66854.42232
wp30d,N2,67.01491667,-50.98108333,37,SE,0,0,0,shrubs,6.4,6,0-5,0.47,6.23,62302.82286
wp31d,N2,67.01438889,-50.98230556,37,SE,0,0,0,fen,,8,0-5,0.40,4.95,49546.27494
wp32d,N2,67.01325,-50.98405556,37,NE,3,0,0,mixed,6.6,7.5,0-5,0.90,4.59,45926.37698
wp33d,N2,67.01280556,-50.98447222,37,NE,10,-,+,mixed,6.8,2,0-5,0.78,3.50,34996.34597
wp34d,N2,67.01227778,-50.98491667,37,SE,10,-,+,mixed,6.7,5,0-5,1.28,1.26,12618.07291
wp35d,N2,67.01122222,-50.98391667,37,SE,0,0,0,mixed,,,0-5,0.30,7.65,76544.09459
wp36d,N2,67.01105556,-50.98480556,37,SE,5,-,0,shrubs,6.8,5.5,0-5,0.49,5.27,52667.19024
wp37d,N2,67.01108333,-50.98558333,37,SE,45,0,0,steppe,7,1,0-5,1.67,1.21,12050.98124
wp38d,N2,67.01044444,-50.98569444,37,SE,3,-,0,mixed,7,5,0-5,0.76,3.04,30379.0581
wp39d,N2,67.00997222,-50.98625,37,SE,3,-,0,shrubs,6.4,2.5,0-5,0.65,3.62,36213.71191
